category,title,name,size_chart,size_fit,size_fit,material_care,specification,price,product_links
,,,,,,,,,https://www.myntra.com/sweaters/hk-colours-of-fashion/hk-colours-of-fashion-women-red--black-checked-sweater/10838320/buy
Home/Clothing/Women Clothing/Kurta Sets/RAISIN Kurta Sets>More By RAISIN,RAISIN,Women Green Embroidered Kurta with Trousers,"S, M, L, XL, XXL","The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Top fabric: Cotton Blend
Bottom fabric: Cotton Blend
Dry-clean","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Trousers, Top Pattern: Embroidered, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Knee Length",Rs. 2029,https://www.myntra.com/kurta-sets/raisin/raisin-women-green-embroidered-kurta-with-trousers/11048442/buy
Home/Clothing/Women Clothing/Kurta Sets/Jaipur Kurti Kurta Sets>More By Jaipur Kurti,Jaipur Kurti,Women Magenta Kurta with Trousers & Dupatta,,"The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Kurta fabric: silk blend
Bottom fabric: silk blend
Dupatta fabric: silk blend
Hand-wash","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Trousers, Dupatta: With Dupatta, Top Pattern: Solid, Top Design Styling: Panelled, Top Hemline: Straight",Rs. 3799,https://www.myntra.com/kurta-sets/jaipur-kurti/jaipur-kurti-women-magenta-kurta-with-trousers--dupatta/7547358/buy
Home/Clothing/Boys Clothing/Kurta Sets/Kidling Kurta Sets>More By Kidling,Kidling,Boys Maroon Solid Kurta with Pyjamas,,"Top fabric: Raw Silk
Bottom fabric: Raw Silk
Machine-wash","Top fabric: Raw Silk
Bottom fabric: Raw Silk
Machine-wash",,"Sleeve Length: Long Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Pyjamas, Top Pattern: Solid, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Above Knee",Rs. 1199,https://www.myntra.com/kurta-sets/kidling/kidling-boys-maroon-solid-kurta-with-pyjamas/8791755/buy
Home/Personal Care/Women Personal Care/Perfume And Body Mist/Dolce & Gabbana Perfume And Body Mist>More By Dolce & Gabbana,Dolce & Gabbana,Women Light Blue Sun Pour Femme Eau de Toilette 100 ml,"50ML
Rs. 3360, 100ML
Rs. 4445",100 ml,100 ml,,"Fragrance: Fruity, Strength: Medium, Type: Perfume",Rs. 4445,https://www.myntra.com/perfume-and-body-mist/dolce--gabbana/dolce--gabbana-women-light-blue-sun-pour-femme-eau-de-toilette-100-ml/9834943/buy
Home/Clothing/Men Clothing/Sweaters/Jack & Jones Sweaters>More By Jack & Jones,Jack & Jones,Men Charcoal Grey Solid Cardigan,,The model (height 6') is wearing a size M,The model (height 6') is wearing a size M,"100% Merino wool
Hand-wash","Fabric: Wool, Pattern: Solid, Sleeve Length: Long Sleeves, Neck: V-Neck, Occasion: Casual, Type: Cardigan, Print or Pattern Type: Solid, Wash Care: Hand Wash",Rs. 3499,https://www.myntra.com/sweaters/jack--jones/jack--jones-men-charcoal-grey-solid-cardigan/7545468/buy
Home/Clothing/Women Clothing/Kurta Sets/Indo Era Kurta Sets>More By Indo Era,Indo Era,Women Mustard Yellow & Green Printed Kurta with Palazzos,"XS, S, M, L, XL, XXL","The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Hand-wash","Sleeve Length: Three-Quarter Sleeves, Top Shape: A-Line, Top Type: Kurta, Bottom Type: Palazzos, Top Pattern: Printed, Top Design Styling: Panelled, Top Hemline: High-Low, Top Length: Calf Length",Rs. 999,https://www.myntra.com/kurta-sets/indo-era/indo-era-women-mustard-yellow--green-printed-kurta-with-palazzos/9436659/buy
Home/Accessories/Women Accessories/Scarves/FabSeasons Scarves>More By FabSeasons,FabSeasons,Women Off-White & Blue Printed Scarf,Onesize,"Length: 1.8 m
Width: 0.8 m","Length: 1.8 m
Width: 0.8 m","Viscose Rayon
Hand-wash","Fabric: Viscose Rayon, Pattern: Printed, Border: Frayed, Wash Care: Hand Wash",Rs. 704,https://www.myntra.com/scarves/fabseasons/fabseasons-women-off-white--blue-printed-scarf/6611192/buy
Home/Clothing/Women Clothing/Kurta Sets/RANGMAYEE Kurta Sets>More By RANGMAYEE,RANGMAYEE,Women Green & Beige Printed Layered A-Line Kurta with Churidar & Dupatta,"S, M, L, XL, XXL","The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Kurta fabric: pure cotton
Bottom fabric: 95% cotton, 5% elastane
Dupatta fabric: art silk
Machine-wash","Sleeve Length: Three-Quarter Sleeves, Top Shape: A-Line, Top Type: Kurta, Bottom Type: Churidar, Dupatta: With Dupatta, Top Pattern: Printed, Top Design Styling: Layered, Top Hemline: Flared",Rs. 1393,https://www.myntra.com/kurta-sets/rangmayee/rangmayee-women-green--beige-printed-layered-a-line-kurta-with-churidar--dupatta/11106588/buy
Home/Accessories/Unisex Accessories/Rucksacks/Wildcraft Rucksacks>More By Wildcraft,Wildcraft,Unisex Teal Blue Printed Trailblazer 55 Pro Rucksack,,"Height: 66 cm
Width: 33 cm
Depth: 24 cm
Volume: 52 litres","Height: 66 cm
Width: 33 cm
Depth: 24 cm
Volume: 52 litres","Nylon
Wipe with a clean cotton cloth when needed","Size: Medium, Number of Main Compartments: 1, Compartment Closure: Drawstring, Tablet Sleeve: No, Material: Nylon, Print or Pattern Type: Brand Logo, Haul Loop Type: Web, Shoulder Strap Type: Sternum",Rs. 5799,https://www.myntra.com/rucksacks/wildcraft/wildcraft-unisex-teal-blue-printed-trailblazer-55-pro-rucksack/9792363/buy
Home/Clothing/Women Clothing/Sweaters/Cottonworld Sweaters>More By Cottonworld,Cottonworld,Women Beige Self Design Pullover Sweater,,"The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Material: Cotton
Machine Wash","Fabric: Cotton, Pattern: Self Design, Sleeve Length: Short Sleeves, Neck: Round Neck, Occasion: Casual, Type: Pullover, Print or Pattern Type: Cable Knit, Wash Care: Machine Wash",Rs. 1890,https://www.myntra.com/sweaters/cottonworld/cottonworld-women-beige-self-design-pullover-sweater/11106168/buy
Home/Clothing/Boys Clothing/Track Pants/YK Marvel Track Pants>More By YK Marvel,YK Marvel,Boys Blue Melange Captain America Printed Joggers,,"86% Cotton 14% Polyester
Machine Wash","86% Cotton 14% Polyester
Machine Wash",,"Fabric: Cotton, Fit: Straight Fit, Fabric 2: Polyester, Occasion: Casual, Type: Joggers, Wash Care: Machine Wash, Length: Regular, Number of Pockets: 2",Rs. 1099,https://www.myntra.com/track-pants/yk-marvel/-yk-marvel-boys-blue-melange-captain-america-printed-joggers/8376281/buy
